id,candidate,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,name,retweet_count,text,user_timezone,,,,,,,,,,,,,,tweet_created
619,No candidate mentioned,yes,1,Neutral,1,None of the above,RedRoadRail,11,RT @NinjaEconomics: What are the best drinking games for the #GOPDebate tonight?,Missouri & Florida Wisconsin,Mountain Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:226
620,Rand Paul,yes,0.6458,Negative,0.6458,Gun Control,davesfavorites,516,"RT @pattonoswalt: Wait, does Rand Paul want to marry a gun? Not saying that's a deal-breaker for me, but still... #GOPDebate",,,,,,,,,,,,,,,3/29/2021 9:227
621,No candidate mentioned,yes,0.6136,Neutral,0.3068,None of the above,AlexLaBarba,0,'Is Joe Flacco elite' sign crashes Republican debate...Still no one knows. http://t.co/YPQvOMX5Ne #NFL #GOPDebate,TEXAS,Mountain Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:228
622,No candidate mentioned,yes,1,Negative,0.6854,None of the above,WendyRMonkey,177,"RT @ChrchCurmudgeon: I'd vote for a hologram of Calvin Coolidge moonwalking across the stage right about now.

#GOPDebate",Land of the butter cow,Mountain Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:229
623,Donald Trump,yes,1,Negative,0.6619,Immigration,Kelsie_Berg,7,"RT @TheFriddle: Trump: Mexico!!!

Rubio: Majority of illegals aren't Mexican.

That's what grandstanding vs understanding real issue looks ๏ฟฝ",,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:230
624,No candidate mentioned,yes,1,Negative,0.6506,None of the above,DykstraDame,2,"The #GOPDebate was like a super crappy cage fight of blustering, bumbling, old wrinkled-up tuckus clinchers without the cage.",NY,,,,,,,,,,,,,,3/29/2021 9:231
625,Rand Paul,yes,1,Negative,1,None of the above,carol_holman,2,"RT @Norsu2: Rand Paul could drop out of top 10 w dreadful, petulent debate. Fiorina moves up #gopdebate #tcot", Clarkrange Tennessee,,,,,,,,,,,,,,3/29/2021 9:232
626,Donald Trump,yes,0.686,Negative,0.686,None of the above,DBreban,1,RT @weeklystandard: .@realDonaldTrump is looking more like Bernie Sanders - on the issues http://t.co/bzKnuXxObk #GOPDebate http://t.co/dxx๏ฟฝ,,Melbourne,,,,,,,,,,,,,3/29/2021 9:233
627,No candidate mentioned,yes,1,Negative,1,None of the above,peterheyck,133,"RT @daveweigel: The official debate line-up from L-R: Loser, Loser, Loser, Loser, Classy, Loser, Loser, Loser, Loser, Loser. #GOPDebate","Ottawa, Canada",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:234
628,Mike Huckabee,yes,1,Neutral,0.6629,None of the above,2ward4ward,7,"RT @JHoganGidley: ""We've got a clip from Mike Huckabee that was the number 1 dial clip of the ENTIRE 2 hours,"" @FrankLuntz. #GOPDebate http๏ฟฝ","California, USA",Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:235
629,No candidate mentioned,yes,1,Negative,0.6632,None of the above,SenoritaJess,0,#GOPDebate madness last night. DNC this morning.... #Guuuuurrrrlllll http://t.co/QkKPnkx0c4,Born & Raised in NELA,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:236
630,No candidate mentioned,yes,0.6374,Negative,0.6374,None of the above,susieque155,231,RT @YoungBLKRepub: Just saying. #GOPDebate http://t.co/zqcAONpaKj,Georgia,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:237
631,No candidate mentioned,yes,0.6784,Negative,0.4602,FOX News or Moderators,Pornitics,319,RT @ThePatriot143: Hey @Foxnews can you let us Rep digest the #GOPDebate before you allow Debbie Wasserman Schultz to TRASH ALL OUR GOP htt๏ฟฝ,Socialist Northeast,,,,,,,,,,,,,,3/29/2021 9:238
632,Donald Trump,yes,0.6932,Positive,0.3523,None of the above,PaolaFreeworddk,0,"#Trump2016 #GOPDebate The Illuminati want him out, but he will win the same http://t.co/2kVlxWB9Kd http://t.co/zyCvnY4NOq",Italy,Belgrade,,,,,,,,,,,,,3/29/2021 9:239
633,Chris Christie,yes,1,Negative,0.6404,None of the above,mfeagans,194,"RT @JimFKenney: Hey @ChrisChristie -- if you want to check out the Constitution, it's right here in Philly. I'll keep the bridge open for y๏ฟฝ",Philadelphia,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:240
634,No candidate mentioned,yes,1,Negative,1,FOX News or Moderators,kirahoffy,2,"""@FoxNews web stream and mobile app fail during #GOPDebate๏ฟฝ๏ฟฝ๏ฟฝ ๏ฟฝ๏ฟฝ๏ฟฝ Why am I not surprised? http://t.c","Eugene, Ore.",Mountain Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:241
635,Jeb Bush,yes,1,Negative,0.6196,Gun Control,Aefauld,11,RT @roseperson: @TheDailyEdge @kharyp Jeb Bush promised families the fallen troops won't have died in vain. How about victims of gun violen๏ฟฝ,,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:242
636,No candidate mentioned,yes,0.6705,Negative,0.3409,None of the above,CharlesMcNulty,1,"RT @whoisbenchang: The #GOPDebate as theater, made-for-TV (&amp; web) drama, (and, duh) reality TV, via @CharlesMcNulty @latimes http://t.co/lT๏ฟฝ",Los Angeles,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:243
637,No candidate mentioned,yes,1,Negative,1,None of the above,EConfeniae,1,"RT @natycar74: http://t.co/wrmBJKVhNr.Candidate.Mentioned.Inequality! Not, one!!! #GOPDebate","Puyo, Pastaza Ecuador ",,,,,,,,,,,,,,3/29/2021 9:244
638,Ted Cruz,yes,0.6809,Positive,0.6809,Foreign Policy,marshalhoverson,303,"RT @PamelaGeller: LOVE CRUZ! ""If you join ISIS you are signing  your death warrant."" Go Ted go! Anyone that joins ISIS loses their citizens๏ฟฝ",,,,,,,,,,,,,,,3/29/2021 9:245
639,No candidate mentioned,yes,0.6809,Positive,0.3404,Religion,KCBoyd3,2,RT @americansunited: Blog: God made a cameo appearance in last night's #GOPDebate. We're sure there will be more to come. http://t.co/01llp๏ฟฝ,,Atlantic Time (Canada),,,,,,,,,,,,,3/29/2021 9:246
640,Donald Trump,yes,1,Negative,1,None of the above,Lady_NoNo,18,RT @hilcox18: Donald Trump is Drunk Uncle #GOPDebate http://t.co/fcn61e8e3w,"Buffalo, New York",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:247
641,Ted Cruz,yes,1,Positive,0.6966,None of the above,DCSquibbsr,20,RT @jonmcclellan: Watch @TedCruz strong closing statement at the #GOPdebate: Video: https://t.co/kQlgCBaV7p #CruzCrew,,,,,,,,,,,,,,,3/29/2021 9:248
642,No candidate mentioned,yes,1,Negative,0.6558,Women's Issues (not abortion though),PeacefulFeather,119,"RT @thesuperficial: ""Hey, guys. Women are allowed to vote.""
""WHAT?""
""That's impossible!""
""Build a wall around their uterus!""
""Ronald Reagan๏ฟฝ","Cedar Park, Texas",,,,,,,,,,,,,,3/29/2021 9:249
643,No candidate mentioned,yes,1,Neutral,0.6813,None of the above,dgtlUbun2,1,RT @STrimel: No one summed it up better than #BernieSanders. #GOPDebate  https://t.co/jL65PKp3Ua,,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:250
644,John Kasich,yes,0.6782,Negative,0.6782,None of the above,TxDestination,0,"Retrospect #gopdebate USA needs someone #conservative, confident,respectfully listens, not arrogant @rushlimbaugh says @Fiorina @Kasich",,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:251
645,No candidate mentioned,yes,1,Negative,0.6805,None of the above,hinsw9942,0,@maureenjohnson based on your Tweets I'm slightly thankful I skipped the #GOPDebate yesterday evening,"St Paul, MN",Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:252
646,Chris Christie,yes,1,Negative,1,None of the above,DAG_1968,0,"@hardball_chris Hey Chris, did you file a workman's claim after @CarlyFiorina smashed you last night? #GOPDebate #tcot @hardball",,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:253
647,Donald Trump,yes,1,Negative,0.6829,None of the above,nodote135,0,@realDonaldTrump ur complaining so much about being targeted but do u think that when ur president u won't be targeted? #GOPDebate,,,,,,,,,,,,,,,3/29/2021 9:254
648,No candidate mentioned,yes,1,Neutral,0.6644,Racial issues,akbarjenkins,0,Last night the GOP faced up to the Yellow Peril... @theclementlime watched so you don't have to https://t.co/rOfWhAOX6G #GOPDebate,"Atlanta, GA",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:255
649,Donald Trump,yes,1,Negative,1,FOX News or Moderators,deb_BAE_,0,which is NOT fair and balanced #GOPDebate,,,,,,,,,,,,,,,3/29/2021 9:256
650,Scott Walker,yes,1,Negative,0.6853,Abortion,LaraLuis20,477,"RT @PrestonMitchum: Dear Scott Walker:

How are you ""pro-life"" if you would let a woman die rather than receive an abortion? 

#GOPDebate #๏ฟฝ",United States,Mountain Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:257
651,No candidate mentioned,yes,1,Negative,1,Racial issues,OpTiMist4Now,0,"LOL! D@%m straight! Unbelievable the sexist, misogynistic &amp;
racist tones. Repugnant sad state of affairs. #GOPDebate https://t.co/awBmpTMpUm",Palm Beach / Boston,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:258
652,Ted Cruz,yes,1,Negative,1,None of the above,Dttettleton,206,RT @bazecraze: Ted Cruz looks like someone put a suit on a sigh. #GOPDebate,,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:259
653,No candidate mentioned,yes,1,Neutral,0.6395,None of the above,SouthernRock3,0,.@ObamaAgenda @BaracksBackers Um..During the #GOPDebate. DERP!,"Texas, USA",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:260
654,No candidate mentioned,yes,0.6949,Negative,0.3755,Racial issues,JustNadia_K,1,"RT @adillard4: Unlike #GOPDebate we'll talk race, activism #BlackLivesMatter #fergusonsyllabus #takeitdown #BTWAM on #UmichChat @ 1 http://๏ฟฝ","Ann Arbor, MI 1/5",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:261
655,No candidate mentioned,yes,1,Negative,0.675,None of the above,dej388,34,"RT @RepublicanPunk: GOP has 0 candidates who deleted 30,000 subpoenaed emails. #GOPDebate #ReadyForHillary",Ga,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:262
656,No candidate mentioned,yes,1,Positive,1,None of the above,btshepherd1,0,Usa is waking up!! #GOPDebate,Texas,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:263
657,No candidate mentioned,yes,1,Neutral,0.6413,None of the above,ClaireEaton12,127,RT @feministabulous: I grew up the poorest. Vote for me. #GOPDebate,Tufts University,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:264
658,Donald Trump,yes,1,Positive,1,None of the above,borsato79,0,"@realDonaldTrump treated @RandPaul like the little gnat he is. 
#GOPDebate #tcot #trump #MakeAmericaGreatAgain #GoTrump",,,,,,,,,,,,,,,3/29/2021 9:265
659,No candidate mentioned,yes,1,Neutral,0.6568,Racial issues,LOVEnver_fails,30,RT @CarmenSpinDiego: @Dreamdefenders and other black activist censored on @instagram after #gopdebate http://t.co/m6aFfsKJmC,Seattle,,,,,,,,,,,,,,3/29/2021 9:266
660,No candidate mentioned,yes,1,Neutral,0.6703,FOX News or Moderators,thatgodovrthere,397,RT @SouthernHomo: Me as a moderator at the #GOPDebate http://t.co/URnKZ69fNx,,,,,,,,,,,,,,,3/29/2021 9:267
661,No candidate mentioned,yes,1,Negative,0.6559,FOX News or Moderators,slopokejohn,46,RT @JohnGGalt: Looks like Fox News needs to be taken out back. #GOPDebate #MakeAmericaGreatAgain,All 48 states,,,,,,,,,,,,,,3/29/2021 9:268
662,No candidate mentioned,yes,1,Negative,1,Women's Issues (not abortion though),THEE11thHOUR,210,"RT @hunterwalk: If men could become pregnant, whoooo wheeee, these answers would be different #GOPDebate",Fire Truck 7,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:269
663,No candidate mentioned,yes,1,Negative,0.6706,None of the above,gravius_brent,0,Remember this bullshit when picking a president #GOPDebate. #stupid #marines http://t.co/HhSotdZXiL,,,,,,,,,,,,,,,3/29/2021 9:270
664,No candidate mentioned,yes,1,Negative,0.3695,None of the above,LelaindePeche,8,RT @cavaticat: I didn't watch the #GOPDebate last night so today I got to wake up still liking myself and humanity in general.,Lost in time & Space,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:271
665,No candidate mentioned,yes,1,Positive,0.7215,None of the above,PerryLohr2,2,"RT @NaughtyBeyotch: RT @AllenWestRepub ""Twitter declares @CarlyFiorina the #GOPDebate winner ๏ฟ"" http://t.co/lX0RkaHzMQ",Kansas,,,,,,,,,,,,,,3/29/2021 9:272
666,No candidate mentioned,yes,1,Negative,0.6522,None of the above,wayneashleymusi,0,"After the #GOPDebate, it's the only jam that seems appropriate. @taylorswift13 @kendricklamar #BadBlood #music #np http://t.co/f2Ul333eXo","Houston, Texas",,,,,,,,,,,,,,3/29/2021 9:273
667,No candidate mentioned,yes,1,Negative,0.641,FOX News or Moderators,palmaceiahome1,2,"Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate",,Quito,,,,,,,,,,,,,3/29/2021 9:274
668,No candidate mentioned,yes,1,Neutral,0.6598,None of the above,illusions2015,1,"RT @SFSK8rGrrl: I Won! (Did You?)
#F2B @JChurchRadio @fadernauts #GOPDebate https://t.co/IylGGDhzEJ",Planet Earth,,,,,,,,,,,,,,3/29/2021 9:275
669,Donald Trump,yes,0.6531,Negative,0.6531,None of the above,sealywilly,918,RT @nerdist: Trump constantly looks like he's trying to push out a fart. #GOPDebate,san dimas,,,,,,,,,,,,,,3/29/2021 9:276
670,No candidate mentioned,yes,1,Neutral,0.6471,None of the above,LMvanderWatt,2,RT @moneyries: The second most-retweeted presidential candidate Tweet of the #GOPDebate https://t.co/rybdNPfypW,Stockholm,Athens,,,,,,,,,,,,,3/29/2021 9:277
671,No candidate mentioned,yes,1,Negative,1,None of the above,CUFUDC,0,These boys imagine themselves in the Oval Office? God help us all. #GOPdebate #debate #houseofcards,"Washington, DC",,,,,,,,,,,,,,3/29/2021 9:278
672,Donald Trump,yes,1,Neutral,1,None of the above,ColdSober787,655,RT @megynkelly: .@realDonaldTrump: I think the big problem this country has is being politically correct #GOPDebate,Oregon,Arizona,,,,,,,,,,,,,3/29/2021 9:279
673,No candidate mentioned,yes,1,Negative,1,None of the above,dnvnbirch26,0,Oh and the absolute disrespect of @POTUS by the GOP candidates in the #GOPDebate was DISGUSTING!,,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:280
674,No candidate mentioned,yes,1,Negative,1,FOX News or Moderators,alexandraheuser,0,Shame on #FoxNews making FIRST Primary Debate all about THEM #RatingsBonanza THEY win VOTERS lose. #GOPDebate #TCOT https://t.co/Gs5eoDhvHu,America,,,,,,,,,,,,,,3/29/2021 9:281
675,No candidate mentioned,yes,1,Neutral,0.696,None of the above,1990sgirl4life,158,"RT @DonnieWahlberg: I love seeing the #StraightOuttaCompton movie preview during the #GOPDebate!

Will have seen both in the next 24 hours!",,Quito,,,,,,,,,,,,,3/29/2021 9:282
676,Mike Huckabee,yes,1,Positive,0.3441,None of the above,aeroG,15,"RT @ChronFalkenberg: ""The military is not a social experiment. The purpose of the military is to kill people and break things."" Huckabee sa๏ฟฝ","Houston, Texas",Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:283
677,,yes,0.3618,Negative,0.3618,,DCSoljaGurl,0,Fact checking (for those just recovering from last night's #DrinkingGame #GOPDebate ) http://t.co/8iBAcPcs7D,DC - MD - IL - IA,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:284
678,Donald Trump,yes,1,Neutral,0.6774,FOX News or Moderators,SherSpooner,0,#GOPDebate: Fox News tries to dump the #Trump. http://t.co/MuSxkU53Ol http://t.co/2Ha71jFRp1,"Oak Park, IL",,,,,,,,,,,,,,3/29/2021 9:285
679,Donald Trump,yes,1,Negative,0.6742,FOX News or Moderators,CascadeRam,0,"""This was more of an inquisition than it was a debate"" says Sen Graham about Fox News moderators questioning @realDonaldTrump at #GOPDebate",Seattle,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:286
680,Scott Walker,yes,1,Negative,1,None of the above,dmarro,0,"Didn't like #ScottWalker before the debates, like him even less now. #GOPDebate","Long Island, NY",,,,,,,,,,,,,,3/29/2021 9:287
681,No candidate mentioned,yes,1,Negative,1,FOX News or Moderators,Conssista,0,Keep trying but it ain't working. Ppl saw through your focus groups &amp; @FoxNews last night. #GOPDebate  https://t.co/FyXcFnWEdp,,,,,,,,,,,,,,,3/29/2021 9:288
682,Marco Rubio,yes,0.6604,Positive,0.6604,Abortion,ImwithMarco,0,Amazing! Marco Rubio schools @ChrisCuomo on when life begins: https://t.co/PrKLk6X4Ji #ProLife #GOPDebate #TCOT,,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:289
683,Donald Trump,yes,0.6686,Negative,0.3608,Foreign Policy,AZAustin43,8,"RT @StudyingLiberty: The man who wants to take on Iran, Russia, and China can't even handle a few tough debate questions by Megyn Kelly. #G๏ฟฝ","Arizona, USA",Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:290
684,No candidate mentioned,yes,0.6495,Negative,0.6495,FOX News or Moderators,theAlexHanson,0,"Interesting stuff: Pundits/analysts say FOX asked good questions, caller just now on talk radio said he ""lost respect"" for FOX. #GOPDebate","Ames & Bettendorf, Iowa, USA",Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:291
685,No candidate mentioned,yes,0.6847,Negative,0.6847,Jobs and Economy,1KissedGirl1,160,"RT @mrmilianspeaks: Dear Republicans

If you grew up broker than everyone else then why do you hate the poor so much?

#KKKorGOP  #GOPDebate",Texas,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:292
686,Mike Huckabee,yes,1,Positive,0.6444,None of the above,2ward4ward,5,"RT @JHoganGidley: VIDEO: @GovMikeHuckabee Crushes Frank Luntz @FoxNews focus group: http://t.co/zTrUVoFwGG 
cc: @FrankLuntz #Huckabee2016 #๏ฟฝ","California, USA",Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:293
687,No candidate mentioned,yes,0.6794,Neutral,0.3497,FOX News or Moderators,Sammie_Sue12,0,"@IngrahamAngle ""@CarlyFiorina ran away with it."" #GOPDebate #Carly2016 https://t.co/8AQYJ9bYOr",,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:294
688,No candidate mentioned,yes,0.6458,Positive,0.3229,None of the above,glamorqueen,7,"RT @NaphiSoc: I am more committed than ever to support Democratic nominee thanks to #GOPDebate 
and any ""Dem"" who even hesitates is not a D๏ฟฝ",,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:295
689,No candidate mentioned,yes,0.6819,Negative,0.6819,None of the above,BlueMaze,1,"RT @ShrinkGov: Lets not pretend the bar for POTUS is very high now.  Its somewhere between sh*t and syphilis
#GOPDebate #tcot",Michigan,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:296
690,No candidate mentioned,yes,0.638,Positive,0.3199,None of the above,pernella_7,0,"Bernie Sanders is a fucking national treasure.

@BernieSanders 
#FeelTheBern 
#GOPDebate 
#JonStewart 
#DonaldTrump 
#Bernie2016 
#Democrat","Pittsburgh, PA",,,,,,,,,,,,,,3/29/2021 9:297
691,No candidate mentioned,yes,0.6667,Positive,0.3333,None of the above,KarenCrow6,8,"RT @FreedomJames7: Who Wants A Hug?
#GOPDebate http://t.co/iaTS8vyx7c",,,,,,,,,,,,,,,3/29/2021 9:298
692,No candidate mentioned,yes,1,Negative,0.7,None of the above,RedRoadRail,81,"RT @P0TUS: Rick Perry calls planes ""aviation assets"" This is what happens when you wear glasses to improve your IQ. #GOPDebate /Kiddie Vers๏ฟฝ",Missouri & Florida Wisconsin,Mountain Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:299
693,Donald Trump,yes,1,Positive,1,None of the above,tjensen739,802,"RT @DanScavino: .@realDonaldTrump wins 1st #GOPDebate!
#MakeAmericaGreatAgain #Trump2016 #TeamTrump #TrumpForPresident ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ http",Skyzone,,,,,,,,,,,,,,3/29/2021 9:300
694,No candidate mentioned,yes,1,Negative,0.6841,None of the above,Riddagh,0,"After #GOPDebate the world leaders said ""put the bombs away, these guys will destroy America themselves."" #Republicans #notbetter","Upper East Side, Manhattan",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:301
695,No candidate mentioned,yes,1,Negative,0.7017,None of the above,Melabell,0,"My mom this morning, ""so who won the debate?!"". My Dad: ""The Democrats did"" ... #GOPDebate","��T: 10.16471,-64.682618",Caracas,,,,,,,,,,,,,3/29/2021 9:302
696,No candidate mentioned,yes,0.7111,Neutral,0.3556,None of the above,_captainhookz,19,RT @micnews: Kimye๏ฟฝ๏ฟฝ๏ฟฝs selfie with Hillary Clinton was more viral than the #GOPDebate http://t.co/7BiQfjHmhF http://t.co/mZtc,,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:303
697,No candidate mentioned,yes,1,Negative,0.6629,FOX News or Moderators,bodysouls,6,RT @jimtrue48: @Treezilla @hereistheanswer I don't mind hardball questions but I don't like an ambush aimed at taking someone out of the ra๏ฟฝ,USA,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:304
698,No candidate mentioned,yes,0.6392,Positive,0.3402,None of the above,STrimel,1,No one summed it up better than #BernieSanders. #GOPDebate  https://t.co/jL65PKp3Ua,Greater NYC,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:305
699,No candidate mentioned,yes,1,Negative,0.6847,Racial issues,s0s0str1s,682,RT @marksluckie: Just one #BlackLivesMatter question at #GOPDebate? But we spent a half hour talking about fences?? http://t.co/v7pqn2Qr84,,,,,,,,,,,,,,,3/29/2021 9:306
700,No candidate mentioned,yes,1,Negative,1,None of the above,alabamafan2,0,Liberals went from experimenting on patients in mental institutions to working for #PlannedButcherhood  #GOPDebate,Georgia,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:307
701,Donald Trump,yes,1,Negative,1,None of the above,ScheidlDavid,16,"RT @RadioFreeTom: Look, Trumpkins, your hero didn't even win the steak knives last night, know what I'm sayin' here? #GOPDebate","Ottawa, Canada",,,,,,,,,,,,,,3/29/2021 9:308
702,No candidate mentioned,yes,1,Positive,1,None of the above,LightsWeBurn,0,"I'm impressed by @CarlyFiorina. She's classy, inspires confidence &amp; trustworthiness. Everyone saw her dominate ""happy hour"". #GOPDebate",Canada,Central Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:309
703,No candidate mentioned,yes,1,Negative,1,None of the above,wetsprocket,6,"RT @larryfeltonj: It must be awful living with the paranoid worldview presented at the #GOPDebate.  These guys need therapy, not public off๏ฟฝ",Stumptown,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:310
704,No candidate mentioned,yes,1,Negative,1,Religion,paulmcclintock,51,"RT @JillBidenVeep: I hate the phrase ""I just can't"" but I'm pretty close to feeling that way about this God question. #GOPDebate",,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:311
705,Donald Trump,yes,1,Negative,1,Women's Issues (not abortion though),MrsKenagy,1,"RT @ShadowBard: American women take note: When @@realDonaldTrump justified his piggish attacks on women at the #GOPDebate, not 1 man on sta๏ฟฝ",,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:312
706,Donald Trump,yes,0.6778,Negative,0.3556,None of the above,645ciDIVA,0,Here is another one! Poor Frank is taken a beating๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ LOL!๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ #GOPDebate @realDona,SomeWhereSmiling ,,,,,,,,,,,,,,3/29/2021 9:313
707,No candidate mentioned,yes,0.6705,Negative,0.3409,None of the above,alaimoa,2,RT @ctblogger: This image best sums up my thoughts regarding last night's #GOPDebate http://t.co/ko0eOisFJw,"Red Bank, NJ",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:314
708,No candidate mentioned,yes,1,Negative,1,None of the above,DoctressStory,0,"How everyone watching the #GOPDebate last night felt after any of the candidates gave an answer to any question! ๏ฟฝ๏ฟฝ๏ฟฝ๏ฟฝ
 https://t.co/Bm","Louisville, KY",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:315
709,Donald Trump,yes,1,Negative,0.6949,FOX News or Moderators,Alaskan3401,0,"#HalffullHalfMT? @FoxNews moderators prep #GOPDebate 4whats coming? Abc nbc CNBC cnn  willB more Nasty, #youvebeentargeted @realDonaldTrump","Alaska,South Central",Alaska,,,,,,,,,,,,,3/29/2021 9:316
710,Donald Trump,yes,1,Positive,0.3547,None of the above,beaujolais1,6,"RT @becca0mae: I don't know who won the debate, but @Writeintrump definitely won the award for ""best #GOPDebate live tweeting""",Massachusetts,,,,,,,,,,,,,,3/29/2021 9:317
711,No candidate mentioned,yes,1,Neutral,0.6989,None of the above,thehighstinkin,3,RT @AwardsDaily: I don't think I've ever seen a bunch of dudes so afraid of one woman as during last night's debates. #GOPDebate,,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:318
712,No candidate mentioned,yes,0.6531,Neutral,0.3265,,whoisbenchang,1,"The #GOPDebate as theater, made-for-TV (&amp; web) drama, (and, duh) reality TV, via @CharlesMcNulty @latimes http://t.co/lTZD4fxR8b","Los Angeles, CA",Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:319
713,No candidate mentioned,yes,0.6748,Negative,0.6748,Women's Issues (not abortion though),McLonergan,4,RT @LWilsonDarlene: #Hillary spent #GOPDebate night hanging out with a rude rapper &amp; reality show queen who's claim to fame is a sex video.๏ฟฝ,,,,,,,,,,,,,,,3/29/2021 9:320
714,Scott Walker,yes,1,Negative,1,Abortion,RedRoadRail,20,RT @SpudLovr: Fetus dies in womb after 20 weeks? No D&amp;C for you. #ScottWalker16 thinks you should carry it full term. #GOPDebate,Missouri & Florida Wisconsin,Mountain Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:321
715,Rand Paul,yes,1,Negative,0.6848,None of the above,agentc2,0,"@RandPaul got his clock cleaned last night. Bye, bye. #debate #GOPDebate",Orlando,Quito,,,,,,,,,,,,,3/29/2021 9:322
716,Donald Trump,yes,1,Neutral,0.3626,FOX News or Moderators,kraig4u,2,"#GOPDebate  The order was to ""take out Trump"", but I wonder if FOX News was the one who took the ""order"" seriously. @HeidiL_RN",America,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:323
717,No candidate mentioned,yes,0.6624,Neutral,0.6624,Abortion,Bound4LIFE,1,"In-Depth Interview with Former Nurse @JillStanek on #PPSellsBabyParts Scandal: http://t.co/KVl3ydITDA 

#DefundPP #GOPDebate
@CtrMedProgress",DC and Everywhere,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:324
718,No candidate mentioned,yes,1,Negative,1,None of the above,natycar74,1,"http://t.co/wrmBJKVhNr.Candidate.Mentioned.Inequality! Not, one!!! #GOPDebate",,Eastern Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:325
719,No candidate mentioned,yes,1,Negative,0.6914,None of the above,abytw,237,RT @NerdyWonka: Aaaaaaaaaaaaaaand the winner of the #GOPDebate is: http://t.co/BMh8u80tyh,a JH15 FEMA camp near you,Pacific Time (US & Canada),,,,,,,,,,,,,3/29/2021 9:326
